學年度,學校代碼,學校名稱,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
112,1,國立政治大學,教育學系,D 日,D 博士,105,0,20,30 臺北市,1 一般
112,1,國立政治大學,教育學系,D 日,M 碩士,41,0,10,30 臺北市,1 一般
112,1,國立政治大學,教育學系,D 日,B 學士,212,12,49,30 臺北市,1 一般
112,1,國立政治大學,教育行政與政策研究所,D 日,M 碩士,48,1,13,30 臺北市,1 一般
112,1,國立政治大學,學校行政碩士在職專班,N 職,M 碩士,89,0,15,30 臺北市,1 一般
112,1,國立政治大學,幼兒教育研究所,D 日,M 碩士,43,1,11,30 臺北市,1 一般
112,1,國立政治大學,教育學院,D 日,,0,8,0,30 臺北市,1 一般
112,1,國立政治大學,宗教研究所,D 日,D 博士,26,0,3,30 臺北市,1 一般
112,1,國立政治大學,宗教研究所,D 日,M 碩士,26,7,5,30 臺北市,1 一般
112,1,國立政治大學,歷史學系,D 日,D 博士,26,0,3,30 臺北市,1 一般
112,1,國立政治大學,歷史學系,D 日,M 碩士,54,0,15,30 臺北市,1 一般
112,1,國立政治大學,歷史學系,D 日,B 學士,176,16,34,30 臺北市,1 一般
112,1,國立政治大學,台灣史研究所,D 日,D 博士,18,0,0,30 臺北市,1 一般
112,1,國立政治大學,台灣史研究所,D 日,M 碩士,61,9,4,30 臺北市,1 一般
112,1,國立政治大學,民族學系,D 日,D 博士,17,0,1,30 臺北市,1 一般
112,1,國立政治大學,民族學系,D 日,M 碩士,19,0,3,30 臺北市,1 一般
112,1,國立政治大學,民族學系,D 日,B 學士,186,10,24,30 臺北市,1 一般
112,1,國立政治大學,哲學系,D 日,D 博士,24,0,4,30 臺北市,1 一般
112,1,國立政治大學,哲學系,D 日,M 碩士,45,0,6,30 臺北市,1 一般
112,1,國立政治大學,哲學系,D 日,B 學士,193,14,29,30 臺北市,1 一般
112,1,國立政治大學,英國語文學系,D 日,D 博士,21,0,5,30 臺北市,1 一般
112,1,國立政治大學,英國語文學系,D 日,M 碩士,58,0,15,30 臺北市,1 一般
112,1,國立政治大學,英國語文學系英語教學碩士在職專班,N 職,M 碩士,35,0,7,30 臺北市,1 一般
112,1,國立政治大學,英國語文學系,D 日,B 學士,280,21,51,30 臺北市,1 一般
112,1,國立政治大學,日本語文學系,D 日,M 碩士,26,0,3,30 臺北市,1 一般
112,1,國立政治大學,日本語文學系,D 日,B 學士,170,9,46,30 臺北市,1 一般
112,1,國立政治大學,阿拉伯語文學系,D 日,B 學士,176,7,21,30 臺北市,1 一般
112,1,國立政治大學,韓國語文學系,D 日,M 碩士,25,0,5,30 臺北市,1 一般
112,1,國立政治大學,韓國語文學系,D 日,B 學士,155,9,24,30 臺北市,1 一般
112,1,國立政治大學,土耳其語文學系,D 日,B 學士,123,7,16,30 臺北市,1 一般
112,1,國立政治大學,歐洲語文學系,D 日,B 學士,262,12,51,30 臺北市,1 一般
112,1,國立政治大學,斯拉夫語文學系,D 日,M 碩士,11,0,3,30 臺北市,1 一般
112,1,國立政治大學,斯拉夫語文學系,D 日,B 學士,202,18,46,30 臺北市,1 一般
112,1,國立政治大學,東南亞語言與文化學士學位學程,D 日,B 學士,158,8,10,30 臺北市,1 一般
112,1,國立政治大學,台灣文學研究所,D 日,D 博士,10,0,0,30 臺北市,1 一般
112,1,國立政治大學,台灣文學研究所,D 日,M 碩士,39,7,3,30 臺北市,1 一般
112,1,國立政治大學,中國文學系,D 日,D 博士,50,0,3,30 臺北市,1 一般
112,1,國立政治大學,中國文學系,D 日,M 碩士,87,0,26,30 臺北市,1 一般
112,1,國立政治大學,中國文學系國文教學碩士在職專班,N 職,M 碩士,75,0,13,30 臺北市,1 一般
112,1,國立政治大學,中國文學系,D 日,B 學士,328,30,63,30 臺北市,1 一般
112,1,國立政治大學,華語文教學博士學位學程,D 日,D 博士,14,0,1,30 臺北市,1 一般
112,1,國立政治大學,華語文教學碩士學位學程,D 日,M 碩士,56,5,5,30 臺北市,1 一般
112,1,國立政治大學,語言學研究所,D 日,D 博士,5,0,2,30 臺北市,1 一般
112,1,國立政治大學,語言學研究所,D 日,M 碩士,38,6,7,30 臺北市,1 一般
112,1,國立政治大學,外國語文學院,D 日,,0,1,0,30 臺北市,1 一般
112,1,國立政治大學,經濟學系,D 日,D 博士,7,0,1,30 臺北市,1 一般
112,1,國立政治大學,經濟學系,D 日,M 碩士,100,0,38,30 臺北市,1 一般
112,1,國立政治大學,經濟學系,D 日,B 學士,395,17,108,30 臺北市,1 一般
112,1,國立政治大學,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,45,1,13,30 臺北市,1 一般
112,1,國立政治大學,政治學系,D 日,D 博士,18,0,5,30 臺北市,1 一般
112,1,國立政治大學,政治學系,D 日,M 碩士,69,0,18,30 臺北市,1 一般
112,1,國立政治大學,政治學系,D 日,B 學士,220,16,46,30 臺北市,1 一般
112,1,國立政治大學,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,65,0,16,30 臺北市,1 一般
112,1,國立政治大學,外交學系,D 日,D 博士,9,0,1,30 臺北市,1 一般
112,1,國立政治大學,外交學系,D 日,M 碩士,73,0,24,30 臺北市,1 一般
112,1,國立政治大學,外交學系戰略與國際事務碩士在職專班,N 職,M 碩士,79,1,18,30 臺北市,1 一般
112,1,國立政治大學,外交學系,D 日,B 學士,264,7,72,30 臺北市,1 一般
112,1,國立政治大學,國際研究英語碩士學位學程,D 日,M 碩士,58,0,14,30 臺北市,1 一般
112,1,國立政治大學,國際事務學院,D 日,,0,17,0,30 臺北市,1 一般
112,1,國立政治大學,心理學系,D 日,D 博士,10,0,0,30 臺北市,1 一般
112,1,國立政治大學,心理學系,D 日,M 碩士,91,0,25,30 臺北市,1 一般
